timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
94.76,1012,t1012,220,150.0,90,2,4,0.7422167814216453,True,37.791181690555185,2.3517881955060536,True,False
94.87,1013,t1013,300,250.0,20,5,2,0.6690521704631409,False,86.79811797830291,3.094305000097309,False,False
94.91,1014,t1014,80,50.0,74,4,6,0.6948444628297019,True,3.4602441472247443,0.8698044478254365,True,False
95.09,1017,t1017,270,200.0,90,6,4,0.6875431512445146,True,57.5354095353242,2.6116254303035205,True,False
95.17,1018,t1018,220,150.0,87,8,6,0.6586368100405647,True,35.90511149229266,2.3370149820696438,True,False
95.2,1020,t1020,220,900.0,77,10,6,0.6969195907689051,False,206.2678201653475,2.248463896910122,False,False
95.2,1019,t1019,270,900.0,87,2,6,0.6942297184808189,False,237.45237272742446,2.5398333301670166,False,False
95.25,1022,t1022,270,200.0,49,7,5,0.7063867003494256,False,58.99593354949024,2.4487498361778077,False,False
95.34,1023,t1023,300,250.0,35,7,10,0.6962511733314959,False,75.7764825696219,2.7550242481897627,False,False
95.38,1024,t1024,220,900.0,46,2,6,0.6896017907778692,False,210.41541075822985,2.21184071968907,False,False
95.43,1025,t1025,270,900.0,99,7,1,0.6919963416805816,False,212.0789803955469,2.8539902990355115,False,False
95.44,1027,t1027,220,900.0,85,10,6,0.6922378656201936,False,217.58770041404094,2.274895271011028,False,False
95.44,1026,t1026,270,200.0,96,2,6,0.6850664216289786,True,61.980482477338875,2.8934425211576187,True,False
95.72,1029,t1029,300,250.0,88,8,10,0.6865860026934686,False,76.30232401402162,3.1495555287318933,True,False
95.73,1030,t1030,170,100.0,79,10,6,0.6876497749744565,True,18.390715365663848,1.6755337946296291,True,False
95.75,1031,t1031,220,900.0,38,9,4,0.7329343981407136,False,235.75217281830666,2.1573250508896096,False,False
95.77,1032,t1032,170,500.0,42,2,10,0.6639640577794959,False,101.08652468536741,1.540402698208099,False,False
95.78,1033,t1033,270,200.0,97,3,10,0.6787539416648443,True,51.9691208683966,2.5846045949929746,True,False
95.82,1034,t1034,170,700.0,24,0,5,0.6743605812846146,False,110.43922376039464,1.7124523598404628,False,False
95.93,1035,t1035,120,75.0,82,2,4,0.7429546276113942,True,10.160867951446164,1.2278260905277696,True,False
96.12,1036,t1036,270,200.0,41,8,10,0.682262464457781,False,44.38702624058593,2.4359235461089446,False,False
96.42,1037,t1037,270,200.0,93,9,10,0.6580779939723355,True,62.934408603054855,2.7167049591931804,True,False
96.56,1038,t1038,170,100.0,68,3,2,0.7041788961048184,True,14.376332384525085,1.6440346231509237,True,False
97.09,1039,t1039,80,50.0,55,2,4,0.7436777168773482,True,4.748432608536215,0.7425222901770184,True,False
97.15,1041,t1041,270,200.0,69,10,4,0.7120482596871084,True,44.955583499476674,2.8787516271131612,True,False
97.21,1042,t1042,220,150.0,52,3,5,0.6746139607161369,True,37.94324244426964,2.1825717985867876,True,False
97.28,1043,t1043,220,150.0,92,4,6,0.6965297553912897,True,30.941634398709276,2.3955251428001283,True,False
97.28,1044,t1044,80,50.0,85,1,4,0.6687285408471061,True,3.6398604743554723,0.7555168454572634,True,False
97.45,1046,t1046,80,50.0,32,5,2,0.6650793088720599,True,3.7136956225270565,0.8603944093572944,True,False
97.47,1047,t1047,270,1000.0,56,3,5,0.6767038633199959,False,221.18822915356995,2.8572292126902354,False,False
97.51,1048,t1048,170,100.0,74,1,6,0.6614608524186537,True,19.147145084045746,1.777179095290277,True,False
97.51,1049,t1049,270,200.0,33,4,10,0.6696166198116039,False,47.53787309375838,2.6647369466299495,False,False
97.71,1051,t1051,300,1000.0,91,5,2,0.6673599045128006,False,321.04393484164206,3.058695500059787,False,False
97.73,1052,t1052,170,100.0,20,5,10,0.6708576256907454,True,15.611100107965026,1.7197842323347385,True,False
97.81,1053,t1053,270,900.0,94,10,6,0.689327446141634,False,249.71203179916986,2.946605714652179,False,False
97.82,1054,t1054,270,200.0,32,8,10,0.6780253969868072,False,43.79853053242322,2.5581832180397264,False,False
97.89,1055,t1055,270,900.0,78,0,2,0.6917295845697593,False,256.4429168696912,2.5841331764358597,False,False
98.05,1056,t1056,300,250.0,24,9,4,0.727532376844566,False,86.94545072318124,2.753107070281047,False,False
98.2,1057,t1057,170,700.0,82,10,4,0.7132379611600329,False,129.68550704337196,1.7511520198970798,False,False
98.36,1061,t1061,300,250.0,21,5,4,0.7564967788278106,False,84.30841773106454,3.2161589934963937,False,False
