topology,malicious_ratio,model,trust_mse,trust_mse_std,trust_rmse,trust_rmse_std,trust_mae,trust_mae_std,detection_accuracy,detection_accuracy_std,detection_precision,detection_precision_std,detection_recall,detection_recall_std,detection_f1,detection_f1_std,detection_auc,detection_auc_std
Topo4MEC_100N150E,10%,GCN,0.03184405324152982,0.0025119355010959337,0.17831020365192135,0.0070373656392253015,0.12698497459654476,0.01122418676415717,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.590189594356261,0.106015901974641
Topo4MEC_100N150E,10%,Transformer,0.03267295228477971,0.007757869885786307,0.1796375104336506,0.020082757031338817,0.13258928700575928,0.03336124307619158,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16413485764676244,0.17604375004371253
Topo4MEC_100N150E,15%,GAT,0.04647469825965221,0.004788818119297745,0.21527675098054644,0.011428855888145597,0.1846452992163977,0.017809493093630748,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25675977057489663,0.04384350930942719
Topo4MEC_100N150E,15%,GraphSAGE,0.044430597157337826,0.010945784562462748,0.20932316037058324,0.024787329218956274,0.1666587228020794,0.03409804309741084,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21746698679471788,0.25574299788909755
Topo4MEC_100N150E,15%,GCN,0.041446453837293555,0.005310855452718485,0.20317113527760614,0.012959306590332096,0.14359856875136645,0.007975217194081964,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5070297452314259,0.05138468550648821
Topo4MEC_100N150E,15%,Transformer,0.03892651811687398,0.0032537789084347126,0.19713121530110939,0.008111847556606926,0.14480534346166132,0.013175497314330589,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09538077453203506,0.09636181262749208
Topo4MEC_100N150E,20%,GAT,0.057497829414692204,0.004099802992702496,0.23963875143284158,0.008431976423175313,0.2135662868966818,0.02450762861315852,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25059917091836736,0.07244324881652561
Topo4MEC_100N150E,20%,GraphSAGE,0.04952292821894,0.009959251113313255,0.22146445680358723,0.02182710680855447,0.17559888988235703,0.029967814458340784,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1769862882653061,0.216633515429037
Topo4MEC_100N150E,20%,GCN,0.047406948775587196,0.005903715359095309,0.21731652747149116,0.013434123094560662,0.17118803184097778,0.004147312249985301,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333451672335601,0.053512137504232185
Topo4MEC_100N150E,20%,Transformer,0.04855214564128961,0.008386576864659528,0.21955321357093321,0.018669013149220565,0.17427399918716507,0.027484246520544098,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12623373724489795,0.10816927993086187
